1: Cmd_Error
505: Cmd_TradeItemOnAck
507: Cmd_TradeItemOffAck
509: Cmd_TradeLockAck
511: Cmd_TradeCloseAck
513: Cmd_TradeCompleteAck
515: Cmd_TradeMoneyAck
522: Cmd_CurrentGameMode
524: Cmd_UpgradeItemSafeAck
531: Cmd_GhostStartAck
533: Cmd_GhostGateReward
535: Cmd_GhostResult
552: Cmd_ReplayData
577: Cmd_ReplaceCarAck
581: Cmd_MyAuctionListAck
583: Cmd_AuctionOnAck
585: Cmd_AuctionCancelAck
587: Cmd_AuctionCompleteAck
589: Cmd_AuctionListAck
593: Cmd_AuctionBuyAck
594: Cmd_AuctionBuyed
596: Cmd_AuctionSearchAck
621: Cmd_RoomModify
622: Cmd_RoomMaster
625: Cmd_RoomAiCarAssign
640: Cmd_Weather
661: Cmd_GameCharInfoAck
663: Cmd_GameCharInfoExAck
665: Cmd_CGameCharInfoExAck
667: Cmd_LicenseStatusAck
668: Cmd_LCondStatusAck
671: Cmd_GameCharInfoOffLineAck
724: Cmd_FuelChargeRes
741: Cmd_TrafficItemEventAck
760: Cmd_StatUpdate
761: Cmd_PartyEnChantUpdate
762: Cmd_ExtendUpdate
781: Cmd_AreaListAck
783: Cmd_MyPositionAck
785: Cmd_GetDateTimeAck
787: Cmd_QuestPositionAck
789: Cmd_GateListAck
790: Cmd_ChannelOwnershipListAck
791: Cmd_UpdateSAge
792: Cmd_Action
801: Cmd_PlayerInfoReq
802: Cmd_PlayerInfoOld
804: Cmd_StickerInfoRes
806: Cmd_LicenseInfoRes
808: Cmd_SetMyDeliveryItemAck
809: Cmd_PlayerInfoRes
810: Cmd_ETCInfo
812: Cmd_GetLicenseInfoAck
814: Cmd_GetLicenseCondAck
816: Cmd_SelectLicenseAck
817: Cmd_NewLicenseNoti
823: Cmd_ObserverCount
831: Cmd_SetTeamMarkAck
833: Cmd_GetTeamMarkAck
835: Cmd_SetTeamUrlAck
841: Cmd_MyTeamInfoAck
843: Cmd_CreateTeamAck
845: Cmd_CloseTeamAck
847: Cmd_JoinTeamAck
849: Cmd_LeaveTeamAck
852: Cmd_CheckTeamNameAck
854: Cmd_CancelCloseTeamAck
856: Cmd_TeamMembersAck
857: Cmd_DelegateTeamMasterAck
859: Cmd_CharTeamInfoAck
861: Cmd_CBattleInfoAck
863: Cmd_GetCBattleTimeAck
869: Cmd_CheckTeamUrlAck
871: Cmd_JoinTeamApply
873: Cmd_LeaveTeamRequest
875: Cmd_BanishTeamMember
876: Cmd_RejectTeamApply
877: Cmd_TeamNotify
878: Cmd_JoinTeamApplyAck
885: Cmd_AssignTeamRankAck
886: Cmd_CBattleRoomCreateAck
900: Cmd_CBattleRoomReady
902: Cmd_CBattleState
904: Cmd_CBattleInstanceAck
909: Cmd_CBattleItemsAck
911: Cmd_CBattleGetSettingAck
912: Cmd_CBattleBroadcast
913: Cmd_CBattleRewardItems
914: Cmd_CBattleMissedItems
915: Cmd_CBattleRewardMoney
916: Cmd_ObserverSupport
918: Cmd_ReplayListAck
920: Cmd_ReplayRes
951: Cmd_MissionBattleStartAck
953: Cmd_MissionBattleCompleteAck
954: Cmd_MissionBattleFail
955: Cmd_MissionRoomState
956: Cmd_MissionBattleSeed
957: Cmd_MissionBattleObjectEvent
960: Cmd_WMLaptimeStatusInfo
991: Cmd_InstantRequestAck
993: Cmd_InstantStartAck
995: Cmd_InstantCompleteAck
997: Cmd_InstantRewardAck
998: Cmd_InstantFail
1000: Cmd_InstantGiveUpAck
1002: Cmd_InstantGoalPlaceAck
1012: Cmd_GetCouponForVarAck
1014: Cmd_GetCouponStampListAck
1016: Cmd_MarkCouponAck
1018: Cmd_OpenCouponAck
1020: Cmd_GetCouponAck
1021: Cmd_UpdateCouponParam
1040: Cmd_ComboExp
1061: Cmd_VisualUpdate
1111: Cmd_EnterRushZoneAck
1113: Cmd_ExitRushZoneAck
1115: Cmd_RushStatus
1116: Cmd_RushNotice
1117: Cmd_AssignHuvControl
1118: Cmd_NotifyRushHuv
1119: Cmd_DeleteRushHuv
1120: Cmd_RushResult
1121: Cmd_SwitchRushHuv
1122: Cmd_CastRushEvent
1123: Cmd_RushObjectUpdate
1124: Cmd_RushMemberCnt
1127: Cmd_UpdateRushZone
1150: Cmd_Mita500Position
1152: Cmd_Mita500GetAck
1153: Cmd_Mita500BuffInfo
1155: Cmd_BacchusBuffInfo
1160: Cmd_DayEventInfo
1161: Cmd_DayMissionCompleteAck
1164: Cmd_DayMissionGetRewardAck
1165: Cmd_DayMileageGetRewardAck
1167: Cmd_DayHongbaoGetRewardAck
1171: Cmd_DayEventGetItemAck
1173: Cmd_DayEventCompleteAck
1201: Cmd_VisualItemListAck
1202: Cmd_VSItemModList
1204: Cmd_BuyVisualItemAck
1206: Cmd_EquipVisualItemAck
1208: Cmd_UnEquipVisualItemAck
1210: Cmd_VisualItemUseAck
1212: Cmd_DropVisualItemAck
1214: Cmd_SetAeroStatsAck
1216: Cmd_RecycleVSItemAck
1219: Cmd_SellAeroPartsAck
1221: Cmd_RepairNeoPartsAck
1301: Cmd_BuyHistoryListAck
1303: Cmd_SendVisualItemAck
1305: Cmd_GetVisualItemAck
1307: Cmd_IsValidCharNameAck
1308: Cmd_ReceiveVisualItem
1310: Cmd_TestPlayerQuestion
1320: Cmd_LapTimeLoad
1322: Cmd_LapTimeStart
1324: Cmd_LapTimeRecord
1325: Cmd_LapTimeFinishing
1326: Cmd_LapTimeResult
1327: Cmd_LapTimeNotifyStart
1351: Cmd_MyStickerListAck
1353: Cmd_AttachStickerAck
1355: Cmd_DetachStickerAck
1356: Cmd_NotifySelledSticker
1361: Cmd_EndingUserRecordAck
1401: Cmd_GetMyHancoinAck
1451: Cmd_OpenLottoAck
1453: Cmd_ScratchLottoAck
1461: Cmd_UseLuckyBagAck
1463: Cmd_UseGWEventAck
1471: Cmd_UseHongbaoAck
1481: Cmd_ReadMailAck
1483: Cmd_DeleteMailAck
1485: Cmd_KeepMailAck
1487: Cmd_SendMailAck
1489: Cmd_GetMailItemAck
1491: Cmd_CompleteApprenticeAck
1493: Cmd_GetCarAck
1501: Cmd_BonusUpdate
1510: Cmd_PostList
1512: Cmd_InsertPostAck
1514: Cmd_DeletePostAck
1601: Cmd_MyAuctionVSListAck
1603: Cmd_AuctionVSOnAck
1605: Cmd_AuctionVSCancelAck
1607: Cmd_AuctionVSCompleteAck
1609: Cmd_AuctionVSListAck
1613: Cmd_AuctionVSBuyAck
1614: Cmd_AuctionVSBuyed
1616: Cmd_AuctionVSSearchAck
1701: Cmd_MyAuctionCarListAck
1703: Cmd_AuctionCarOnAck
1705: Cmd_AuctionCarCancelAck
1707: Cmd_AuctionCarCompleteAck
1709: Cmd_AuctionCarListAck
1711: Cmd_AuctionCarBuyAck
1712: Cmd_AuctionCarBuyed
1714: Cmd_AuctionCarSearchAck
1800: Cmd_AuctionCarOpenClose
1901: Cmd_SelectGuildAck
1910: Cmd_SelectDCGPTeam
1911: Cmd_DCGPSeasonState
1912: Cmd_GetDCGPReward
2001: Cmd_ExpInfo
2002: Cmd_MitoInfo
2003: Cmd_MileageInfo
2004: Cmd_ReputationInfo
2101: Cmd_ObsGachaInit
2102: Cmd_ObsGachaSelect
2104: Cmd_ObsGachaUp
2105: Cmd_ObsGachaSelectState
2106: Cmd_ObsGachaResult
2500: Cmd_ChatBlock
2601: Cmd_PrivateChatBanishAck
2603: Cmd_PrivateChatDelegateAck
2605: Cmd_PrivateChatInfoAck
3001: Cmd_UCPatrolStartAck
3003: Cmd_UCPatrolGiveUpAck
3005: Cmd_UCPatrolGoalPlaceAck
3006: Cmd_UCPatrolResult
3011: Cmd_UCBossPatrolStartAck
3013: Cmd_UCBossPatrolGiveupAck
3015: Cmd_UCBossPatrolGoalPlaceAck
3016: Cmd_UCBossPatrolResult
3017: Cmd_UCBossPatrolReset
3020: Cmd_UnderCityReward
3102: Cmd_PartyPatrolComplete
3108: Cmd_PartyPatrolRedPost
3110: Cmd_PartyPatrolRedPostGetAck
3111: Cmd_PartyPatrolInfo
3113: Cmd_PartyHuv
3201: Cmd_CityLeaveCheckAck
3303: Cmd_GetTeamEventsAck
3305: Cmd_GetTeamResearchAck
3311: Cmd_ContributeItemAck
3314: Cmd_XmasTreeEventBuff
3400: Cmd_TournamentNotice
3401: Cmd_TournamentInfo
3402: Cmd_RoomTimeOut
3404: Cmd_TournamentMyInfo
3406: Cmd_TournamentRaceInfo
3409: Cmd_TournamentList
3411: Cmd_TournamentSetRewardAck
3413: Cmd_TournamentRewardList
3415: Cmd_TournamentSearchRes
3601: Cmd_MitoUpgradeCarAck
3603: Cmd_GHResAcceptAck
3605: Cmd_GHReceiptReqAck
3611: Cmd_GrindItemAck
3613: Cmd_AddPeriodItemAck
3617: Cmd_UserAuthOTP
